Spawning 4 workers for 500 images.
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
[170/500] synth_000165.png  (3050, 1176)  anns=11  rate=0.52img/s  eta=10.6min
[171/500] synth_000166.png  (4913, 2773)  anns=21  rate=0.52img/s  eta=10.5min
[172/500] synth_000167.png  (3712, 2393)  anns=8  rate=0.53img/s  eta=10.4min
[173/500] synth_000168.png  (3176, 1153)  anns=11  rate=0.53img/s  eta=10.4min
[174/500] synth_000169.png  (1686, 1080)  anns=5  rate=0.53img/s  eta=10.3min
[175/500] synth_000170.png  (3839, 2555)  anns=18  rate=0.53img/s  eta=10.2min
[176/500] synth_000171.png  (1400, 1090)  anns=11  rate=0.54img/s  eta=10.1min
[177/500] synth_000180.png  (2019, 1062)  anns=4  rate=0.53img/s  eta=10.2min
[178/500] synth_000181.png  (3705, 2584)  anns=12  rate=0.53img/s  eta=10.1min
[179/500] synth_000182.png  (1691, 912)  anns=9  rate=0.53img/s  eta=10.0min
[180/500] synth_000183.png  (1447, 900)  anns=4  rate=0.54img/s  eta=9.9min
[181/500] synth_000176.png  (3077, 1668)  anns=37  rate=0.53img/s  eta=10.0min
[182/500] synth_000177.png  (3027, 1011)  anns=9  rate=0.53img/s  eta=9.9min
[183/500] synth_000178.png  (2082, 1047)  anns=13  rate=0.54img/s  eta=9.8min
